scan_id,order_id,scan_type,scan_timestamp,staff_id
1,1,pickup_scan,2025-06-19 20:00,19
2,2,pickup_scan,2025-02-02 23:00,10
3,2,dropoff_scan,2025-02-07 18:00,3
4,3,pickup_scan,2025-10-22 18:00,25
5,3,dropoff_scan,2025-10-29 01:00,4
6,5,pickup_scan,2025-04-24 05:00,17
7,5,dropoff_scan,2025-04-29 21:00,6
8,6,pickup_scan,2025-02-17 22:00,9
9,6,dropoff_scan,2025-02-21 13:00,2
10,7,pickup_scan,2025-01-14 05:00,22
11,7,dropoff_scan,2025-01-17 15:00,14
12,8,pickup_scan,2025-01-24 21:00,1
13,8,dropoff_scan,2025-01-30 14:00,16
14,9,pickup_scan,2025-08-27 04:00,17
15,9,dropoff_scan,2025-09-01 01:00,16
16,10,pickup_scan,2025-06-27 15:00,12
17,10,dropoff_scan,2025-06-29 07:00,24
18,12,pickup_scan,2025-07-01 08:00,17
19,12,dropoff_scan,2025-07-01 10:00,13
20,13,pickup_scan,2025-07-15 03:00,16
21,14,pickup_scan,2025-09-02 08:00,25
22,14,dropoff_scan,2025-09-03 15:00,10
23,15,pickup_scan,2025-03-21 08:00,11
24,16,pickup_scan,2025-05-06 08:00,8
25,17,pickup_scan,2025-01-08 03:00,13
26,17,dropoff_scan,2025-01-09 16:00,11
27,18,pickup_scan,2025-04-01 03:00,9
28,18,dropoff_scan,2025-04-07 18:00,19
29,20,pickup_scan,2025-11-16 06:00,13
30,20,dropoff_scan,2025-11-20 07:00,18
31,21,pickup_scan,2025-04-21 03:00,15
32,21,dropoff_scan,2025-04-22 19:00,23
33,22,pickup_scan,2025-04-18 00:00,1
34,22,dropoff_scan,2025-04-23 13:00,22
35,23,pickup_scan,2025-03-04 02:00,1
36,23,dropoff_scan,2025-03-08 15:00,1
37,24,pickup_scan,2025-09-12 19:00,12
38,25,pickup_scan,2025-06-30 12:00,21
39,25,dropoff_scan,2025-07-02 05:00,21
40,26,pickup_scan,2025-10-31 18:00,3
41,26,dropoff_scan,2025-11-05 23:00,20
42,27,pickup_scan,2025-12-03 18:00,23
43,28,pickup_scan,2025-11-06 01:00,9
44,28,dropoff_scan,2025-11-09 04:00,17
45,29,pickup_scan,2025-08-04 05:00,25
46,30,pickup_scan,2025-01-23 18:00,2
47,31,pickup_scan,2025-07-15 04:00,7
48,31,dropoff_scan,2025-07-21 17:00,11
49,32,pickup_scan,2025-06-22 22:00,9
50,34,pickup_scan,2025-04-10 18:00,1
51,34,dropoff_scan,2025-04-16 04:00,18
52,35,pickup_scan,2025-10-26 02:00,10
53,35,dropoff_scan,2025-10-26 17:00,11
54,37,pickup_scan,2025-01-05 09:00,14
55,37,dropoff_scan,2025-01-06 08:00,15
56,38,pickup_scan,2025-08-13 17:00,2
57,38,dropoff_scan,2025-08-13 19:00,6
58,39,pickup_scan,2025-03-29 09:00,15
59,39,dropoff_scan,2025-03-31 23:00,6
60,40,pickup_scan,2025-05-14 04:00,4
61,41,pickup_scan,2025-04-27 23:00,20
62,41,dropoff_scan,2025-05-03 20:00,19
63,42,pickup_scan,2025-09-18 01:00,3
64,42,dropoff_scan,2025-09-24 05:00,4
65,44,pickup_scan,2025-02-23 21:00,16
66,44,dropoff_scan,2025-02-27 01:00,24
67,47,pickup_scan,2025-05-19 18:00,22
68,47,dropoff_scan,2025-05-25 05:00,16
