invoice_id,project_id,vendor_name,category,invoice_amount_naira,invoice_date,payment_status,notes
INV05063,PRJ00278,Mama Bisi Kitchen Services,Catering,67913129,14-03-2023,disputed,
INV02797,PRJ00659,Naija Faces Casting,Talent,29352645,25/06/2021,Pending,
INV09667,PRJ00100,SoundWave Post,Post-Production,10596183,10/11/2025,paid,
INV03097,PRJ00605,Urban Set Scouts,Location,15820750,21 Apr 2024,Pd,
INV07741,PRJ00121,Urban Set Scouts,Location,2298615,2022-06-22,pending,
INV02578,PRJ02590,ColourGrade Lagos,Post-Production,5308896,12-04-2025,Pending,
INV07621,PRJ01499,Reel Edit Studios,Post-Production,42481661,15/08/2025,Pending,
INV06748,PRJ00087,SoundWave Post NG,Post-Production,3404770,16/07/2024,paid,
INV07180,PRJ02677,Stagehand Talent Agency,Talent,5450510,27/06/2023,disputed,
INV08488,PRJ00406,Crew Connect NG,Crew,44725823,15/04/2023,Pd,
INV07271,PRJ00437,COLOURGRADE LAGOS,Post-Production,36275035,08/10/2021,paid,
INV01953,PRJ03979,ProGear Nigeria,Equipment Rental,37419799,2023-03-22,pending,
INV01758,PRJ00221,OnSet Meals NG,Catering,860075,25 Nov 2023,OVERDUE,
INV08318,PRJ03925,Lagos Grip & Lighting,Equipment Rental,13889546,16/06/2025,Paid,
INV07594,PRJ02309,OnSet Meals NG,Catering,50677579,2023-07-21,paid,
INV00609,PRJ02654,Lagos Grip & Lighting Co,Equipment Rental,7260075,2021-08-28,paid,
INV09720,PRJ02550,Naija Faces Casting,Talent,42427447,28/01/2025,Paid,
INV07554,PRJ00398,Crew Connect NG,Crew,66286474,15 Oct 2021,PAID,
INV08980,PRJ03250,SoundWave Post NG,Post-Production,14199016,2024-09-17,OVERDUE,
INV02232,PRJ02696,Chop Life Catering,Catering,14249770,25-06-2021,Disputed,
INV09373,PRJ02189,Crew Connect NG,Crew,29347081,21 Jan 2022,Disputed,
INV01982,PRJ03497,ColourGrade Lagos,Post-Production,"NGN 21,812,210",2024-04-18,Pending,
INV05687,PRJ01127,Chop Life Catering,Catering,4293922,2021-07-06,Paid,
INV01764,PRJ00716,Naija Faces Casting,Talent,533820,25-05-2022,Disputed,
INV05608,PRJ02694,Crewnnect,Crew,25602557,18-11-2025,OVERDUE,
INV07895,PRJ02244,SoundWave Post NG,Post-Production,7486094,12 Mar 2021,PAID,
INV00907,PRJ00937,Redline Camera Rentals,Equipment Rental,29912005,12 Jun 2023,Pd,
INV09541,PRJ02999,ColourGrade Lagos,Post-Production,25522220,2025-04-05,Paid,
INV05766,PRJ03160,Stagehand Talent Agency,Talent,20219766,2021-10-14,pending,
INV05943,PRJ01128,REDLINE CAMERA RENTALS,Equipment Rental,"NGN 9,441,274",2025-11-07,OVERDUE,
INV02005,PRJ02535,Lagos Grip & Lighting Co,Equipment Rental,2184355,21-10-2024,Paid,
INV05671,PRJ01602,Crew Connect NG,Crew,10127421,13 Jul 2024,disputed,
INV06185,PRJ03368,Stagehand Talent Agency,Talent,1946175,2025-02-13,OVERDUE,
INV09144,PRJ02538,ondeck production staffing,Crew,5006344,2021-12-23,Overdue,
INV05280,PRJ03351,Frame & Focus Equipment,Equipment Rental,32582000,28 Jul 2023,Overdue,
INV03506,PRJ02114,Mama Bisi Kitchen Services,Catering,2962725,2021-09-16,paid,
INV05793,PRJ02369,Stagehand Talent Agency,Talent,14684480,26-12-2025,pending,
INV07202,PRJ00149,Coastline Property Services,Location,1175243,09-05-2022,Paid,
INV05102,PRJ01125,Mama Bisi Kitchen Services,Catering,30806118,2021-02-25,Overdue,
INV07776,PRJ02518,Chop Life Catering,Catering,2818370,09-05-2025,Pending,
INV06377,PRJ01865,Chop Life Catering,Catering,2600172,16-04-2023,disputed,
INV02793,PRJ01962,Mama Bisi Kitchen Services,Catering,333903,05-02-2025,disputed,
INV03066,PRJ03179,Naija Locations Ltd,Location,4313144,17-03-2023,disputed,
INV02425,PRJ03888,Redline Camera Rentals,Equipment Rental,12539757,24 Jun 2022,disputed,
INV07185,PRJ02058,ColourGrade Lagos,Post-Production,11805095,2025-05-06,Overdue,
INV01611,PRJ03622,Frame & Focus Equipment,Equipment Rental,6812043,28-02-2023,Pending,
INV06955,PRJ00160,Crew Connect NG,Crew,30293913,02 Aug 2021,PAID,
INV05656,PRJ03585,Naija Faces Casting,Talent,34890414,2021-02-02,Paid,
INV01274,PRJ02619,Crewnnect,Crew,6663735,10/06/2021,disputed,
INV08388,PRJ03132,Crew Connect NG,Crew,11660253,05/04/2023,Pending,
INV00921,PRJ01794,OnSet Meals NG,Catering,16218345,2025-10-18,Overdue,
INV08233,PRJ01902,NAIJA FACES CASTING,Talent,20776793,2023-02-01,Paid,
INV03562,PRJ00864,Mama Bisi Kitchen Services,Catering,8555498,15 Aug 2025,disputed,
INV08064,PRJ02811,soundwave post ng,Post-Production,10734285,2021-08-16,PAID,
INV08723,PRJ03337,OnSet Meals NG,Catering,9378682,16 Jul 2021,OVERDUE,
INV02976,PRJ00849,ColourGrade Lagos,Post-Production,25697500,01/03/2021,paid,
INV08101,PRJ00917,OnDeck Production Staffing,Crew,16317389,05-03-2021,PAID,
INV00691,PRJ01973,COLOURGRADE LAGOS,Post-Production,17522405,27-11-2021,paid,
INV07278,PRJ01758,NAIJA FACES CASTING,Talent,19350528,20 Oct 2022,OVERDUE,
INV06392,PRJ00985,Reel Edit Studios,Post-Production,58931930,19 Nov 2024,PAID,
INV06274,PRJ03913,SOUNDWAVE POST NG,Post-Production,25157066,13 Aug 2023,Pd,
INV04711,PRJ02894,Naija Locations Ltd,Location,14164644,11 Jan 2023,disputed,
INV05557,PRJ02226,Naija Faces Casting,Talent,2607600,14/12/2025,Pd,
INV02614,PRJ02737,MAMA BISI KITCHEN SERVICES,Catering,23447296,21 Apr 2021,Pd,
INV05491,PRJ03463,COLOURGRADE LAGOS,Post-Production,54672520,25 Dec 2025,Disputed,
INV00543,PRJ02895,Crew Connect NG,Crew,1619259,2024-07-02,pending,
INV05974,PRJ00607,ColourGrade Lagos,Post-Production,2983154,26-10-2021,PAID,
INV05607,PRJ02694,REEL EDIT STUDIOS,Post-Production,43578864,19 Dec 2025,OVERDUE,
INV07047,PRJ03178,Chop Life Catering,Catering,19934568,07/07/2023,pending,
INV03645,PRJ02746,ColourGrade Lagos,Post-Production,20387767,20 Jan 2022,Paid,
INV05914,PRJ03258,Frame & Focus Equipment,Equipment Rental,11998459,09-10-2023,Paid,
INV09580,PRJ01850,redline camera rentals,Equipment Rental,6036661,27-12-2025,Pending,
INV03065,PRJ01009,ProGear Nigeria,Equipment Rental,16017189,15 Sep 2022,Pending,
INV06343,PRJ03873,OnSet Meals NG,Catering,22165154,11-02-2022,pending,
INV00686,PRJ01913,ColourGrade Lagos,Post-Production,"NGN 2,348,279",07/11/2023,PAID,
INV06905,PRJ00086,OnDeck Production Staffing,Crew,6758867,08/04/2021,disputed,
INV00376,PRJ00598,ONDECK PRODUCTION STAFFING,Crew,22112161,2021-09-12,Paid,
INV09098,PRJ03592,frame & focus equipment,Equipment Rental,15769558,08 Nov 2024,pending,
INV07393,PRJ00062,Naija Faces Casting,Talent,21134930,01-01-2021,disputed,
INV04639,PRJ00924,naija locations ltd,Location,58710239,2024-04-01,pending,
INV01062,PRJ02035,Naija Locations Ltd,Location,187883,2024-09-10,disputed,
INV01320,PRJ01410,SoundWave Post NG,Post-Production,15444513,26 Mar 2025,OVERDUE,
INV02677,PRJ00823,chop life catering,Catering,"NGN 27,687,591",10 Feb 2021,Pd,
INV04674,PRJ01994,ColourGrade Lagos,Post-Production,7012074,26/11/2024,pending,
INV02825,PRJ03806,Crew Connect NG,Crew,17356355,23-05-2022,Paid,
INV03202,PRJ02991,Coastline Property Services,Location,40665036,04-03-2024,OVERDUE,
INV04876,PRJ02327,ColourGrade Lagos,Post-Production,5244960,19/08/2023,Pd,
INV05570,PRJ03798,Naija Faces Casting,Talent,56765676,12/07/2025,Paid,
INV07153,PRJ01190,stagehand talent agency,Talent,62795898,13 May 2025,disputed,
INV02954,PRJ00970,OnSet Meals NG,Catering,4191538,24 Aug 2022,Paid,
INV01710,PRJ03101,Frame & Focus Equipment,Equipment Rental,22474279,18/01/2023,Pd,
INV04057,PRJ01505,ColourGrade Lagos,Post-Production,12926924,11-12-2024,OVERDUE,
INV00595,PRJ01401,ProGear,Equipment Rental,62377250,2023-05-13,disputed,
INV00118,PRJ00743,OnDeck Production Staffing,Crew,4985891,2025-02-19,Paid,
INV09095,PRJ02426,NAIJA FACES CASTING,Talent,26952720,01 Dec 2023,Overdue,
INV06504,PRJ02158,Naija Locations Ltd,Location,27590144,02/05/2025,Overdue,
INV00629,PRJ03558,Chop Life Catering,Catering,21188326,23 Dec 2024,Overdue,
INV07323,PRJ03994,Lagos Grip & Lighting Co,Equipment Rental,21346565,2021-01-13,Paid,
INV00094,PRJ03787,Reel Edit Studios,Post-Production,46485914,21-11-2023,OVERDUE,
INV04165,PRJ03808,Urban Set Scouts,Location,26864576,14-04-2022,paid,
INV05480,PRJ02611,ONSET MEALS NG,Catering,33599402,04 Jun 2021,Pending,
INV09202,PRJ03803,ProGear Nigeria,Equipment Rental,25099218,2024-08-20,paid,
INV01844,PRJ01811,Stagehand Talent Agency,Talent,36496400,21-04-2025,pending,
INV09489,PRJ03066,ondeck production staffing,Crew,39793583,02-06-2025,Paid,
INV08732,PRJ01575,Naija Faces Casting,Talent,"NGN 15,019,412",16/08/2024,Disputed,
INV00304,PRJ01730,redline camera rentals,Equipment Rental,14611806,03 Mar 2022,Pd,
INV01271,PRJ02228,Crew Connect NG,Crew,1793943,2024-07-17,paid,
INV06830,PRJ00524,OnDeck Production Staffing,Crew,16620755,06 Dec 2025,OVERDUE,
INV08419,PRJ01523,Coastline Property Services,Location,31391554,22-10-2024,Pending,
INV03920,PRJ01339,Urban Set Scouts,Location,3894329,02-04-2024,PAID,
INV05619,PRJ03958,Naija Locations Ltd,Location,12632683,27/11/2024,Pending,
INV07219,PRJ01722,NAIJA LOCATIONS LTD,Location,15031951,02-10-2024,OVERDUE,
INV05705,PRJ00326,Stagehand Talent Agency,Talent,8585166,13/10/2024,pending,
INV05859,PRJ03456,Frame & Focus Equipment,Equipment Rental,5220738,09-03-2023,PAID,
INV01938,PRJ02609,REEL EDIT STUDIOS,Post-Production,28272115,01-04-2021,pending,
INV07739,PRJ00121,Urban Set Scouts,Location,30020492,17 Nov 2024,Pd,
INV03280,PRJ01742,SoundWave Post NG,Post-Production,2586936,08 Oct 2023,pending,
INV03052,PRJ01102,Naija Faces Casting,Talent,"NGN 41,952,488",2022-01-24,disputed,
INV07394,PRJ00062,OnDeck Production Staffing,Crew,2354447,2021-08-10,disputed,
INV08592,PRJ02786,Urban Set Scouts,Location,985963,2022-07-19,disputed,
INV01461,PRJ02875,onset meals ng,Catering,5233357,16-12-2024,Pd,
INV02829,PRJ02665,Reel Edit Studios,Post-Production,1587020,2022-08-10,Disputed,
INV00950,PRJ00777,SoundWave Post NG,Post-Production,1187469,04/09/2025,Disputed,
INV03439,PRJ02128,ProGear Nigeria,Equipment Rental,20442383,2024-10-10,Disputed,
INV03601,PRJ01500,Naija Faces Casting,Talent,153317,27 Feb 2023,Disputed,
INV07568,PRJ02539,Lagos Grip & Lighting Co,Equipment Rental,7099472,2023-02-09,disputed,
INV08492,PRJ01319,URBAN SET SCOUTS,Location,9559221,2021-07-17,Paid,
INV02295,PRJ03659,FRAME & FOCUS EQUIPMENT,Equipment Rental,20498608,18-02-2023,Overdue,
INV07907,PRJ01947,Reel Edit Studios,Post-Production,15000,10 Jan 2023,paid,
INV01996,PRJ02232,Redline Camera Rentals,Equipment Rental,2975679,14/05/2025,paid,
INV05169,PRJ01621,Stagehand Talent Agency,Talent,26980094,2021-10-16,Paid,
