record_id,student_id,module_code,exam_sitting_date,official_exam_score,verified_by
EXB00986,NLI-62982,DS501,20/09/2022,89,Dr. Adekunle Bello
EXB00768,NLI92346,ME301,2023-03-08,71,prof. chika nwosu
EXB01879,nli-148080,MT401,25-08-2024,35,dr. samuel okoro
EXB00960,165145,IT301,2021-02-07,34,prof. chika nwosu
EXB02421,22065,ST101,02/08/2021,72,dr. samuel okoro
EXB01499,nli-52238,IT201,17-08-2020,79,prof. chika nwosu
EXB01243,NLI-09269,CS401,18-02-2022,69,Dr. Adekunle Bello
EXB01514,NLI185250,EN101,2022-06-06,54,PROF. NGOZI EZE
EXB02456,72674,IT401,07-12-2019,74,prof. chika nwosu
EXB01089,NLI98853,MT101,2021-06-04,96,PROF. NGOZI EZE
EXB01818,NLI23201,MT501,07-03-2019,78,PROF. NGOZI EZE
EXB00803,NLI-104983,DS201,14-06-2019,86,prof. chika nwosu
EXB00161,NLI65874,EE501,20/05/2022,85,Dr. Adekunle Bello
EXB02396,NLI126058,EE201,2021-12-19,54,dr. samuel okoro
EXB00528,NLI06014,IT401,18/12/2022,36,Dr. Adekunle Bello
EXB02176,NLI164551,IT201,04/09/2020,23,prof. chika nwosu
EXB00850,54270,ME301,2023-06-09,33,Dr. Adekunle Bello
EXB02086,98715,EN101,2022-07-04,93,Dr Fatima Yusuf
EXB01465,96217,CS101,2020-11-08,98,PROF. NGOZI EZE
EXB01594,NLI-122273,DS201,2021-07-09,53,Dr Fatima Yusuf
EXB01741,NLI-155104,PH201,2023-05-27,35,PROF. NGOZI EZE
EXB00780,NLI-31336,EC101,22/05/2021,,PROF. NGOZI EZE
EXB02327,nli-97393,PH301,2022-07-02,41,prof. chika nwosu
EXB01766,NLI150618,MT401,13/05/2023,66,dr. samuel okoro
EXB02051,NLI-14484,EC501,25/06/2019,74,Dr Fatima Yusuf
EXB01341,NLI-36298,ST201,2020-06-10,49,Dr. Adekunle Bello
EXB01190,NLI-196412,PH501,11-06-2024,25,prof. chika nwosu
EXB01017,NLI-186268,DS101,27/05/2019,96,prof. chika nwosu
EXB01510,nli-92023,ME401,2022-08-02,78,dr. samuel okoro
EXB01238,NLI-172092,PH301,2023-12-28,,prof. chika nwosu
EXB00709,nli-128869,PH101,04-02-2023,34,Dr Fatima Yusuf
EXB01478,NLI-183447,MT101,17-10-2023,,Dr Fatima Yusuf
EXB00331,NLI-54622,EE401,11/05/2019,70,Dr. Adekunle Bello
EXB01442,19191,EN401,12-02-2020,41,prof. chika nwosu
EXB02152,NLI-177610,EE201,19/10/2019,,dr. samuel okoro
EXB01967,NLI-178669,EN101,15/05/2021,29,dr. samuel okoro
EXB00889,nli-172739,EC501,09/04/2022,63,PROF. NGOZI EZE
EXB01699,nli-139681,PH401,02-04-2024,,dr. samuel okoro
EXB01011,178229,ME101,08-04-2019,50,dr. samuel okoro
EXB00364,63418,PH101,13/02/2023,32,Dr Fatima Yusuf
EXB01170,nli-64166,EN301,22/11/2024,26,Dr. Adekunle Bello
EXB02598,nli-168646,MT201,26-03-2021,67,Dr. Adekunle Bello
EXB00344,nli-38857,EC301,07/05/2024,24,dr. samuel okoro
EXB00645,NLI10532,ME301,2024-10-15,34,Dr Fatima Yusuf
EXB01382,NLI154890,PH401,2019-04-06,34,dr. samuel okoro
EXB02318,101295,EE501,27-05-2021,74,prof. chika nwosu
EXB01233,NLI-169245,CS301,2022-10-26,57,dr. samuel okoro
EXB01572,nli-85476,ST201,2020-01-27,79,Dr. Adekunle Bello
EXB00464,NLI-66846,MT201,2024-03-05,29,PROF. NGOZI EZE
EXB00147,NLI79156,IT501,25/10/2019,41,Dr Fatima Yusuf
EXB00248,94537,EN301,05/12/2022,24,PROF. NGOZI EZE
EXB00373,NLI-77347,EC501,10-07-2020,97,prof. chika nwosu
EXB00893,NLI-161966,PH101,12-12-2021,25,Dr Fatima Yusuf
EXB01231,NLI-131696,CS101,05-11-2023,29,Dr. Adekunle Bello
EXB01759,NLI173481,MT401,04/08/2019,37,Dr Fatima Yusuf
EXB00878,127910,EN501,02-01-2022,66,Dr. Adekunle Bello
EXB00179,11348,PH501,07/02/2019,54,Dr. Adekunle Bello
EXB00110,NLI183330,EC101,2022-12-03,32,dr. samuel okoro
EXB01615,14333,EC501,15/10/2021,41,PROF. NGOZI EZE
EXB01774,NLI52432,EC401,23-12-2022,97,Dr. Adekunle Bello
EXB00582,NLI170516,IT401,27-04-2022,,dr. samuel okoro
EXB01744,NLI86266,ME301,23-03-2023,55,Dr Fatima Yusuf
EXB00442,NLI-07096,DS101,2022-11-13,113,PROF. NGOZI EZE
EXB02036,NLI-120441,ST201,07/06/2021,38,prof. chika nwosu
EXB02124,14962,ME101,2021-03-20,87,Dr. Adekunle Bello
EXB01428,126977,ME201,10/08/2019,,Dr. Adekunle Bello
EXB01684,NLI-39216,MT401,10-03-2021,73,PROF. NGOZI EZE
EXB00057,NLI-24646,CS101,2023-12-09,,Dr. Adekunle Bello
EXB00309,NLI93589,DS301,2023-08-28,70,dr. samuel okoro
EXB00918,nli-110633,IT501,2023-05-14,94,Dr. Adekunle Bello
EXB01791,NLI-27347,ST401,07-05-2023,,Dr. Adekunle Bello
EXB01390,NLI-121480,IT501,2019-08-18,21,PROF. NGOZI EZE
EXB00785,nli-159138,DS401,08-01-2019,26,dr. samuel okoro
EXB01864,NLI-66084,MT401,09/07/2019,,Dr Fatima Yusuf
EXB01007,51050,ST501,2020-10-10,34,PROF. NGOZI EZE
EXB01431,nli-164986,ST401,2024-02-23,54,dr. samuel okoro
EXB01601,nli-26313,CS301,2024-03-14,25,prof. chika nwosu
EXB01656,NLI-189940,EN101,2020-03-13,87,Dr. Adekunle Bello
EXB01771,nli-27538,PH101,2024-10-25,,Dr Fatima Yusuf
EXB00304,191079,ST401,07-07-2021,53,PROF. NGOZI EZE
EXB00992,NLI-154344,EE201,2021-03-14,86,PROF. NGOZI EZE
EXB00239,107766,CS201,09-10-2023,7,dr. samuel okoro
EXB01727,NLI-132487,CS101,2024-05-13,93,Dr. Adekunle Bello
EXB02369,199484,ST101,16/04/2021,23,prof. chika nwosu
EXB01391,nli-189722,MT201,2021-07-28,81,Dr Fatima Yusuf
EXB00129,NLI-132739,EC201,14-04-2022,77,Dr. Adekunle Bello
EXB01463,68183,DS401,2022-03-03,47,Dr Fatima Yusuf
EXB02438,63669,PH501,16/11/2019,34,prof. chika nwosu
EXB00054,100197,EN401,03/01/2023,88,Dr Fatima Yusuf
EXB02418,53976,IT501,27-04-2021,95,prof. chika nwosu
EXB00404,92784,EE301,19/01/2023,54,prof. chika nwosu
EXB00452,NLI-26754,MT501,2021-11-15,30,Dr. Adekunle Bello
EXB02407,161790,ST301,28-03-2020,73,dr. samuel okoro
EXB02362,NLI-84571,EN101,2023-10-01,48,Dr Fatima Yusuf
EXB02274,NLI-29574,MT101,06-04-2019,22,PROF. NGOZI EZE
EXB00904,NLI-184624,EE201,15/02/2023,48,PROF. NGOZI EZE
EXB00651,nli-98775,PH401,10/07/2024,83,Dr. Adekunle Bello
EXB01047,NLI-78773,MT401,2024-05-07,65,PROF. NGOZI EZE
EXB01258,65571,IT101,09/08/2020,62,Dr. Adekunle Bello
EXB02137,81604,EC501,11-03-2019,33,prof. chika nwosu
EXB01497,nli-125610,EE301,2024-05-15,71,Dr. Adekunle Bello
EXB00377,NLI-91645,IT401,22-03-2019,21,prof. chika nwosu
EXB00521,NLI-49873,IT101,11-02-2022,74,Dr. Adekunle Bello
EXB01862,11516,EE401,2022-07-02,38,Dr Fatima Yusuf
